id,resume,skills,experience_years,desired_salary,actions_history
543,"Опыт 2 года в Python, Django, PostgreSQL. Работал над веб-приложениями в FinTech. Участвовал в Agile-проектах.","Python, Django, PostgreSQL, Git, REST API",2,100000,"[{""vacancy_id"": ""7412"", ""action"": ""просмотр"", ""time"": ""2025-04-02 09:15:00""},{""vacancy_id"": ""7413"", ""action"": ""отклик"", ""time"": ""2025-04-03 10:30:00""},{""vacancy_id"": ""7414"", ""action"": ""просмотр"", ""time"": ""2025-04-04 11:45:00""},{""vacancy_id"": ""7415"", ""action"": ""сохранение"", ""time"": ""2025-04-05 13:00:00""}]"
544,"Frontend-разработчик с опытом 3 лет в React, TypeScript, Redux. Участвовал в разработке SaaS-платформ.","React, TypeScript, Redux, HTML, CSS",3,120000,"[{""vacancy_id"": ""7422"", ""action"": ""просмотр"", ""time"": ""2025-04-02 14:15:00""},{""vacancy_id"": ""7423"", ""action"": ""отклик"", ""time"": ""2025-04-03 15:30:00""},{""vacancy_id"": ""7424"", ""action"": ""просмотр"", ""time"": ""2025-04-04 16:45:00""},{""vacancy_id"": ""7425"", ""action"": ""сохранение"", ""time"": ""2025-04-05 18:00:00""}]"
545,"Бэкенд-разработчик на Node.js, опыт 4 года. Работал с микросервисами, Docker, MongoDB. Участвовал в проектах e-commerce.","Node.js, Express, MongoDB, Docker, REST",4,130000,"[{""vacancy_id"": ""7432"", ""action"": ""просмотр"", ""time"": ""2025-04-02 08:30:00""},{""vacancy_id"": ""7433"", ""action"": ""отклик"", ""time"": ""2025-04-03 09:45:00""},{""vacancy_id"": ""7434"", ""action"": ""просмотр"", ""time"": ""2025-04-04 11:00:00""},{""vacancy_id"": ""7435"", ""action"": ""отклик"", ""time"": ""2025-04-05 12:15:00""}]"
546,"Опыт 5 лет в Java/Spring Boot. Работал в корпоративных системах, интеграциях, REST API. Участвовал в Agile-спринтах.","Java, Spring Boot, PostgreSQL, REST, Git",5,150000,"[{""vacancy_id"": ""7435"", ""action"": ""просмотр"", ""time"": ""2025-04-02 10:00:00""},{""vacancy_id"": ""7436"", ""action"": ""отклик"", ""time"": ""2025-04-03 11:15:00""},{""vacancy_id"": ""7437"", ""action"": ""сохранение"", ""time"": ""2025-04-04 12:30:00""},{""vacancy_id"": ""7438"", ""action"": ""просмотр"", ""time"": ""2025-04-05 13:45:00""}]"
547,"Системный аналитик с опытом 3 года. Работал в банковской сфере, формировал требования, взаимодействовал с разработкой.","SQL, BPMN, Jira, Confluence, Agile",3,90000,"[{""vacancy_id"": ""7412"", ""action"": ""просмотр"", ""time"": ""2025-04-02 11:00:00""},{""vacancy_id"": ""7413"", ""action"": ""отклик"", ""time"": ""2025-04-03 12:15:00""},{""vacancy_id"": ""7414"", ""action"": ""просмотр"", ""time"": ""2025-04-04 13:30:00""},{""vacancy_id"": ""7415"", ""action"": ""отклик"", ""time"": ""2025-04-05 14:45:00""}]"
548,"Product Manager с опытом 4 лет в SaaS. Управлял дорожной картой, приоритизировал требования, работал с данными.","Product Management, Jira, Analytics, UX, Scrum",4,140000,"[{""vacancy_id"": ""7443"", ""action"": ""просмотр"", ""time"": ""2025-04-02 13:00:00""},{""vacancy_id"": ""7444"", ""action"": ""отклик"", ""time"": ""2025-04-03 14:15:00""},{""vacancy_id"": ""7445"", ""action"": ""сохранение"", ""time"": ""2025-04-04 15:30:00""},{""vacancy_id"": ""7446"", ""action"": ""просмотр"", ""time"": ""2025-04-05 16:45:00""}]"
549,"Project Manager с опытом 5 лет в IT. Управлял командами, сроками, бюджетом. Работал в FinTech и HealthTech.","Agile, Scrum, Jira, Confluence, Risk Management",5,160000,"[{""vacancy_id"": ""7442"", ""action"": ""просмотр"", ""time"": ""2025-04-02 09:00:00""},{""vacancy_id"": ""7443"", ""action"": ""отклик"", ""time"": ""2025-04-03 10:15:00""},{""vacancy_id"": ""7444"", ""action"": ""просмотр"", ""time"": ""2025-04-04 11:30:00""},{""vacancy_id"": ""7445"", ""action"": ""отклик"", ""time"": ""2025-04-05 12:45:00""}]"
550,"Data Analyst с опытом 2 года. Работал с SQL, Python, Power BI. Анализировал маркетинговые кампании и KPI.","SQL, Python, Power BI, Excel, Analytics",2,85000,"[{""vacancy_id"": ""7458"", ""action"": ""просмотр"", ""time"": ""2025-04-02 15:00:00""},{""vacancy_id"": ""7459"", ""action"": ""отклик"", ""time"": ""2025-04-03 16:15:00""},{""vacancy_id"": ""7460"", ""action"": ""просмотр"", ""time"": ""2025-04-04 17:30:00""},{""vacancy_id"": ""7461"", ""action"": ""сохранение"", ""time"": ""2025-04-05 18:45:00""}]"
551,"HR Manager с опытом 4 года. Управлял рекрутингом, адаптацией, обучением. Работал в IT-компаниях.","HR Management, Recruitment, Training, 1C, SAP",4,110000,"[{""vacancy_id"": ""7447"", ""action"": ""просмотр"", ""time"": ""2025-04-02 10:30:00""},{""vacancy_id"": ""7448"", ""action"": ""отклик"", ""time"": ""2025-04-03 11:45:00""},{""vacancy_id"": ""7449"", ""action"": ""просмотр"", ""time"": ""2025-04-04 13:00:00""},{""vacancy_id"": ""7450"", ""action"": ""отклик"", ""time"": ""2025-04-05 14:15:00""}]"
552,"Marketing Manager с опытом 3 года в digital. Управлял кампаниями, бюджетом, аналитикой. Работал с Google Ads, Meta.","Digital Marketing, Google Ads, Meta, GA4, Analytics",3,100000,"[{""vacancy_id"": ""7448"", ""action"": ""просмотр"", ""time"": ""2025-04-02 12:00:00""},{""vacancy_id"": ""7449"", ""action"": ""отклик"", ""time"": ""2025-04-03 13:15:00""},{""vacancy_id"": ""7450"", ""action"": ""просмотр"", ""time"": ""2025-04-04 14:30:00""},{""vacancy_id"": ""7451"", ""action"": ""сохранение"", ""time"": ""2025-04-05 15:45:00""}]"
