id;title;salary_min;salary_max;description;requirements;conditions;responsibilities;status;created_at;updated_at
7412;Системный аналитик;80000;150000;Мы ищем опытного системного аналитика для участия в проектировании и внедрении IT-решений в крупной финансовой компании. Вам предстоит работать с бизнес-заказчиками, формировать требования и обеспечивать согласованность между техническими и бизнес-командами.;- Опыт работы системным аналитиком от 2 лет.<br>- Знание методологий Agile/Scrum, UML, BPMN.<br>- Опыт работы с Jira, Confluence, SQL.<br>- Умение писать технические задания и проводить интервью с заказчиками.;"- Официальное трудоустройство по ТК РФ.<br>- Гибкий график и возможность удалённой работы.<br>- Обучение и развитие: доступ к курсам, конференциям, ИИ-инструментам для анализа требований и автоматизации документации;";- Сбор, анализ и формализация бизнес-требований.<br>- Прототипирование интерфейсов и процессов.<br>- Взаимодействие с разработчиками, тестировщиками и product owner.<br>- Поддержка жизненного цикла проекта: от инициации до внедрения и сопровождения.;Активная;2026-03-13 08:16:08.000;2026-03-13 08:16:08.000
7413;Системный аналитик (FinTech);85000;160000;Ведущая FinTech-компания ищет системного аналитика для работы над цифровыми продуктами в сфере платежей и кредитования. Требуется глубокое понимание бизнес-процессов и умение переводить их в технические требования.;- Опыт в FinTech или банковской сфере от 1 года.<br>- Знание SQL, API, REST, Swagger.<br>- Опыт работы с пользовательскими сценариями и user stories.<br>- Умение работать в команде с разработчиками и QA.;"- Удалённая работа.<br>- Бонусы за KPI.<br>- Доступ к ИИ-ассистентам для автоматизации анализа требований и генерации документации;";  - Анализ бизнес-процессов в FinTech.<br>- Формирование требований к API и интеграциям.<br>- Участие в спринтах и ретроспективах.;Активная;2026-03-14 09:30:00.000;2026-03-14 09:30:00.000
7414;Системный аналитик (ERP);75000;140000;Компания ищет системного аналитика для внедрения и сопровождения ERP-системы. Вы будете взаимодействовать с бизнес-подразделениями и технической командой для оптимизации бизнес-процессов.;- Опыт работы с ERP-системами (SAP, 1С, Oracle).<br>- Знание бизнес-процессов логистики, закупок, продаж.<br>- Умение моделировать процессы в BPMN.<br>- Опыт работы с Jira и Confluence.;"- Гибкий график.<br>- Корпоративное обучение.<br>- ИИ-инструменты для анализа данных и визуализации процессов;";  - Анализ и оптимизация бизнес-процессов.<br>- Написание технических заданий для разработчиков.<br>- Участие в тестировании и внедрении модулей ERP.;Активная;2026-03-15 10:00:00.000;2026-03-15 10:00:00.000
7415;Системный аналитик (e-commerce);90000;170000;Крупный онлайн-ритейлер ищет системного аналитика для развития платформы электронной коммерции. Вы будете участвовать в формировании требований к новым функциям, интеграциям и улучшениям пользовательского опыта.;- Опыт в e-commerce от 2 лет.<br>- Знание UX/UI-принципов.<br>- Опыт работы с API, интеграциями, аналитикой поведения пользователей.<br>- Умение писать user stories и проводить сессии с product owner.;"- Удалёнка или гибрид.<br>- Премии по итогам квартала.<br>- Доступ к ИИ-инструментам для анализа пользовательских данных и генерации гипотез;";  - Сбор и приоритизация требований от бизнеса.<br>- Прототипирование интерфейсов.<br>- Взаимодействие с фронтенд- и бэкенд-командами.;Активная;2026-03-16 11:20:00.000;2026-03-16 11:20:00.000
7416;Системный аналитик (HealthTech);82000;155000;Медицинская IT-компания ищет системного аналитика для разработки цифровых решений в сфере здравоохранения. Вы будете работать с врачами, администраторами и разработчиками для создания безопасных и эффективных систем.;- Опыт в HealthTech или медицинской сфере приветствуется.<br>- Знание стандартов HL7, FHIR.<br>- Умение работать с регуляторными требованиями (например, GDPR, HIPAA).<br>- Опыт в Agile-проектах.;"- Официальное трудоустройство.<br>- Компенсация за обучение.<br>- ИИ-ассистенты для автоматизации документации и анализа медицинских процессов;";  - Анализ медицинских процессов.<br>- Формирование требований к системам электронных медкарт.<br>- Участие в тестировании и внедрении решений.;Активная;2026-03-17 12:45:00.000;2026-03-17 12:45:00.000
7417;Системный аналитик (B2B SaaS);88000;165000;Компания, разрабатывающая SaaS-решения для бизнеса, ищет системного аналитика для работы над продуктом, ориентированным на B2B-аудиторию. Вы будете участвовать в формировании видения продукта и его дорожной карты.;- Опыт работы с B2B-продуктами.<br>- Знание CRM, ERP, маркетинговых автоматизаций.<br>- Умение проводить интервью с клиентами и выявлять скрытые потребности.<br>- Опыт работы с Jira, Confluence, Miro.;"- Удалённая работа.<br>- Гибкий график.<br>- Доступ к ИИ-инструментам для анализа клиентских данных и генерации требований;";  - Формирование дорожной карты продукта.<br>- Проведение интервью с клиентами.<br>- Написание user stories и acceptance criteria.;Активная;2026-03-18 13:10:00.000;2026-03-18 13:10:00.000
7418;Системный аналитик (Data-проекты);95000;180000;Компания ищет системного аналитика для работы над проектами в области анализа данных и BI. Вы будете формировать требования к дата-моделям, отчётам и дашбордам, взаимодействуя с аналитиками и разработчиками.;- Опыт работы с BI-инструментами (Power BI, Tableau, Superset).<br>- Знание SQL, ETL-процессов.<br>- Опыт работы с данными в различных доменах (финансы, логистика, маркетинг).<br>- Умение писать технические спецификации.;"- Удалёнка.<br>- Премии за выполнение KPI.<br>- ИИ-инструменты для автоматизации анализа данных и визуализации требований;";  - Формирование требований к дашбордам и отчётам.<br>- Работа с дата-инженерами над ETL-процессами.<br>- Участие в валидации данных и тестировании.;Активная;2026-03-19 14:30:00.000;2026-03-19 14:30:00.000
7419;Системный аналитик (госсектор);78000;130000;Государственная IT-компания ищет системного аналитика для работы над проектами в сфере цифрового госуправления. Вы будете участвовать в формировании требований к информационным системам, соответствующим законодательству РФ.;- Опыт работы в госсекторе или с госпроектами.<br>- Знание 44-ФЗ, 223-ФЗ, ГОСТов.<br>- Умение работать с регуляторными требованиями.<br>- Опыт в Agile или Waterfall.;"- Официальное трудоустройство.<br>- Компенсация за обучение.<br>- ИИ-ассистенты для анализа законодательных актов и генерации требований;";  - Анализ законодательных требований.<br>- Формирование технических заданий для разработки госсистем.<br>- Участие в согласовании с контролирующими органами.;Активная;2026-03-20 15:00:00.000;2026-03-20 15:00:00.000
7420;Системный аналитик (стартап);70000;120000;Стартап в сфере EdTech ищет системного аналитика для работы над быстрыми итерациями продукта. Вы будете участвовать в формировании требований, тестировании гипотез и работе с минимальными жизнеспособными продуктами (MVP).;- Опыт работы в стартапах или в Agile-проектах.<br>- Умение быстро адаптироваться и работать в условиях неопределённости.<br>- Знание основ UX/UI.<br>- Опыт работы с Jira, Figma, Miro.;"- Удалённая работа.<br>- Опционы в компании.<br>- ИИ-инструменты для генерации гипотез и анализа пользовательского поведения;";  - Работа с MVP и быстрыми итерациями.<br>- Проведение пользовательских исследований.<br>- Написание user stories и acceptance criteria.;Активная;2026-03-21 16:20:00.000;2026-03-21 16:20:00.000
7421;Системный аналитик (мобильные приложения);85000;150000;Компания, разрабатывающая мобильные приложения, ищет системного аналитика для работы над iOS и Android-проектами. Вы будете участвовать в формировании требований, тестировании и взаимодействии с дизайнерами и разработчиками.;- Опыт работы с мобильными приложениями.<br>- Знание iOS/Android-платформ, UX-принципов.<br>- Умение писать user stories и проводить сессии с product owner.<br>- Опыт работы с Jira, Confluence, Zeplin.;"- Гибридный график.<br>- Бонусы за KPI.<br>- ИИ-инструменты для анализа пользовательских данных и генерации требований;";  - Сбор требований от бизнеса и пользователей.<br>- Прототипирование интерфейсов.<br>- Участие в тестировании и релизах мобильных приложений.;Активная;2026-03-22 17:45:00.000;2026-03-22 17:45:00.000
